Sys_Timestamp,UTC_Time,Lat,Lon,Fix,Sats,Alt,SDR_dBm
2026-04-21T00:52:37,234624.000,5549.8095N,00430.0484W,1,29,48.3,N/A
2026-04-21T00:52:37,234627.000,5549.8094N,00430.0484W,1,29,48.3,N/A
2026-04-21T00:52:37,234628.000,5549.8094N,00430.0483W,1,29,48.3,N/A
2026-04-21T00:52:37,234630.000,5549.8095N,00430.0484W,1,29,48.3,N/A
2026-04-21T00:52:37,234631.000,5549.8095N,00430.0483W,1,29,48.3,N/A
2026-04-21T00:52:37,234634.000,5549.8096N,00430.0484W,1,29,48.3,N/A
2026-04-21T00:52:37,234640.000,5549.8096N,00430.0485W,1,28,48.3,N/A
2026-04-21T00:52:37,234644.000,5549.8097N,00430.0485W,1,28,48.4,N/A
2026-04-21T00:52:37,234652.000,5549.8097N,00430.0486W,1,28,48.8,N/A
2026-04-21T00:52:37,234653.000,5549.8098N,00430.0486W,1,28,48.9,N/A
2026-04-21T00:52:37,234702.000,5549.8098N,00430.0487W,1,28,49.2,N/A
2026-04-21T00:52:37,234705.000,5549.8099N,00430.0486W,1,28,49.2,N/A
2026-04-21T00:52:37,234706.000,5549.8099N,00430.0487W,1,29,49.2,N/A
2026-04-21T00:52:37,234709.000,5549.8100N,00430.0487W,1,29,49.3,N/A
2026-04-21T00:52:37,234710.000,5549.8099N,00430.0487W,1,30,49.3,N/A
2026-04-21T00:52:37,234711.000,5549.8100N,00430.0487W,1,29,49.3,N/A
2026-04-21T00:52:37,234712.000,5549.8100N,00430.0488W,1,29,49.3,N/A
2026-04-21T00:52:37,234713.000,5549.8101N,00430.0488W,1,31,49.4,N/A
2026-04-21T00:52:37,234717.000,5549.8101N,00430.0489W,1,31,49.7,N/A
2026-04-21T00:52:37,234718.000,5549.8102N,00430.0489W,1,31,49.7,N/A
2026-04-21T00:52:38,234727.000,5549.8103N,00430.0489W,1,31,50.1,N/A
2026-04-21T00:52:38,234732.000,5549.8103N,00430.0490W,1,29,50.3,N/A
2026-04-21T00:52:38,234733.000,5549.8104N,00430.0490W,1,29,50.3,N/A
2026-04-21T00:52:38,234735.000,5549.8104N,00430.0491W,1,29,50.5,N/A
2026-04-21T00:52:38,234736.000,5549.8105N,00430.0491W,1,29,50.5,N/A
2026-04-21T00:52:38,234743.000,5549.8105N,00430.0492W,1,29,50.6,N/A
2026-04-21T00:52:38,234746.000,5549.8106N,00430.0492W,1,29,50.6,N/A
2026-04-21T00:52:38,234752.000,5549.8106N,00430.0491W,1,30,50.8,N/A
2026-04-21T00:52:38,234759.000,5549.8105N,00430.0491W,1,30,50.7,N/A
2026-04-21T00:52:38,234802.000,5549.8105N,00430.0490W,1,30,50.8,N/A
2026-04-21T00:52:38,234803.000,5549.8104N,00430.0490W,1,30,50.8,N/A
2026-04-21T00:52:38,234805.000,5549.8103N,00430.0489W,1,30,50.8,N/A
2026-04-21T00:52:38,234807.000,5549.8102N,00430.0489W,1,30,50.7,N/A
2026-04-21T00:52:38,234808.000,5549.8103N,00430.0489W,1,30,50.7,N/A
2026-04-21T00:52:38,234809.000,5549.8102N,00430.0488W,1,31,50.7,N/A
2026-04-21T00:52:38,234812.000,5549.8101N,00430.0488W,1,31,50.4,N/A
2026-04-21T00:52:38,234813.000,5549.8101N,00430.0487W,1,31,50.3,N/A
2026-04-21T00:52:38,234815.000,5549.8101N,00430.0486W,1,31,50.3,N/A
2026-04-21T00:52:38,234820.000,5549.8102N,00430.0486W,1,31,50.4,N/A
2026-04-21T00:52:38,234830.000,5549.8103N,00430.0486W,1,30,50.6,N/A
2026-04-21T00:52:38,234832.000,5549.8103N,00430.0487W,1,30,50.7,N/A
2026-04-21T00:52:39,234835.000,5549.8104N,00430.0487W,1,30,50.7,N/A
2026-04-21T00:52:39,234836.000,5549.8103N,00430.0487W,1,30,50.6,N/A
2026-04-21T00:52:39,234838.000,5549.8103N,00430.0486W,1,30,50.6,N/A
2026-04-21T00:52:39,234839.000,5549.8103N,00430.0487W,1,30,50.5,N/A
2026-04-21T00:52:39,234840.000,5549.8103N,00430.0486W,1,30,50.5,N/A
